Observed concentration,Predicted concentration symbolic regression,Predicted concentration Eleveld,Predicted concentration neural network
12.9,8.503912,5.9982333,8.459825
15.9,9.01173,6.3886356,9.0287485
13.1,9.028375,6.421858,9.067261
17.2,8.8642,6.3471913,8.932337
11.0,8.87416,6.379696,8.9667225
0.43,1.1504327,0.8360065,1.215031
5.74,8.616398,6.1944914,9.883754
7.31,8.776112,6.3393536,9.659515
7.18,8.676185,6.2844586,9.30174
7.64,8.7154455,6.320264,9.268582
7.3,8.7340355,6.3356895,9.271021
7.34,8.706464,6.319807,9.207913
9.57,8.712696,6.335821,9.168384
9.7,8.754094,6.368529,9.215274
10.6,8.765171,6.3850327,9.245241
9.98,8.652375,6.3083396,9.15317
8.24,8.702457,6.352071,9.239772
8.62,8.749018,6.390043,9.312435
10.6,8.729673,6.3873267,9.3301935
8.9,8.742436,6.407262,9.392918
10.6,8.654525,6.3516364,9.328644
10.4,8.695979,6.394506,9.417968
11.6,8.715434,6.413473,9.45282
0.882,0.96800745,0.856995,1.0332174
7.78,7.013391,6.7129493,7.954319
7.06,7.1425834,6.7016335,7.9318104
4.81,7.3439,6.682817,7.9945107
6.98,7.3830523,6.7098565,7.985121
4.78,7.4875035,6.714099,8.024189
8.25,7.5924077,6.751337,8.109477
8.4,7.635202,6.758256,8.151559
7.11,7.6717825,6.77372,8.195779
9.9,7.628048,6.7183394,8.166571
9.82,7.7465386,6.83019,8.344272
9.22,7.6630883,6.753032,8.271429
8.21,7.6898303,6.7849503,8.326094
8.39,7.5860767,6.7080584,8.254856
10.7,7.5979657,6.727438,8.281724
11.5,7.618882,6.757912,8.321029
2.3,2.5704572,2.2499342,2.738659
2.36,2.600107,2.2314615,2.6934435
2.48,2.6264424,2.2413507,2.700918
2.68,2.6345916,2.2163873,2.655279
2.61,2.6608303,2.2201147,2.6579394
3.26,2.7718709,2.2896812,2.7455955
3.2,2.8123548,2.3170524,2.7813718
3.14,2.7687736,2.2517872,2.7147403
3.93,2.8151202,2.2846096,2.7680564
4.21,2.8319106,2.2968912,2.788076
3.43,2.8769708,2.330594,2.8431973
3.57,2.8969405,2.3459225,2.8682375
3.63,2.8288589,2.2819002,2.806646
3.9,2.8433473,2.296213,2.8345418
3.64,2.8579726,2.3109846,2.8602295
3.97,2.8701751,2.3234057,2.8800294
0.245,0.39876613,0.27863532,0.3771636
4.08,5.61892,4.197973,5.5943747
4.35,5.6954823,4.1661954,5.55407
4.64,5.682197,4.123855,5.496101
4.64,5.688858,4.0724354,5.438085
5.71,5.7052164,4.0579395,5.4318714
5.73,5.6887646,3.9797673,5.3621693
6.53,5.76187,4.017153,5.431529
6.25,5.8395276,4.064676,5.5097766
7.18,5.817123,4.048658,5.48645
7.68,5.706307,3.9569118,5.376935
6.79,5.7408357,3.9908073,5.43011
4.12,5.6765265,3.9581256,5.384597
8.36,4.849357,3.4041026,4.532444
0.058,0.93982285,0.5463083,0.845369
3.97,4.351577,2.5810828,4.136718
2.53,3.650135,2.0915916,3.3039584
2.65,3.5656135,2.074281,3.2305486
2.77,3.5648503,2.1313639,3.271384
2.59,3.3095531,2.0748353,3.1197355
2.22,3.1960156,2.051166,3.0563624
3.01,3.0860534,2.02837,3.015967
3.01,3.0934627,2.056457,3.0638397
3.38,3.1019087,2.0703225,3.0882916
2.46,3.1231759,2.1016576,3.145438
2.49,2.9665534,2.0414107,3.0677652
2.75,2.9682786,2.0495753,3.0918512
3.07,2.9870453,2.0706058,3.1447155
3.47,2.995961,2.0798247,3.1657863
2.47,3.0208268,2.1046922,3.2173038
0.01,0.38975456,0.2861354,0.37815848
6.83,6.3323236,4.357789,5.9455557
6.65,6.5877814,4.4842644,6.0310826
6.87,6.266833,4.2535853,5.5240507
7.21,6.5465198,4.5448437,5.8348627
6.74,6.415378,4.4936986,5.759509
6.89,6.432816,4.5145307,5.7886405
7.71,6.453494,4.5370007,5.8200855
6.82,6.339895,4.497943,5.777848
5.9,6.187581,4.4266944,5.6990075
6.67,6.2218175,4.481519,5.7980776
7.47,6.252043,4.5191436,5.862142
7.73,6.0726905,4.424095,5.75718
7.29,6.099088,4.469246,5.840143
9.64,6.1250176,4.500268,5.8877025
3.214,3.1130934,3.0149148,3.7597222
4.086,3.3297377,2.769731,3.8571966
2.6,2.2882316,1.6590166,2.6780844
5.965,7.025235,5.63224,7.4495373
6.965,6.6090407,4.818031,6.75997
3.7,4.112188,3.1880157,4.613815
11.404,9.789195,7.257796,9.314017
13.52,9.186241,6.554573,8.984057
2.841,2.3964324,1.8975893,2.9396799
12.586,8.222179,7.403655,9.491944
13.314,8.452099,6.5519867,9.499242
1.322,0.8077842,0.7451975,1.2983212
11.809,10.135625,7.8213606,9.462133
19.285,9.691026,7.042207,8.942205
4.602,2.6190646,1.917728,3.121247
8.345,7.8689632,7.5267,9.177885
10.548,8.237153,6.5525107,9.046281
2.868,2.433938,1.6645858,2.930227
8.236,7.2210236,5.6905756,7.593201
7.377,6.7361927,4.892709,6.9700627
5.707,3.6489372,2.8570764,4.1449246
5.071,3.4030144,2.690958,4.0092473
4.937,4.6736574,3.2373624,4.5824895
5.808,4.157303,2.8763788,4.369886
4.86,3.680023,2.7376053,4.3734064
2.599,3.5653944,3.2676125,4.3719707
0.969,3.715268,2.9490056,4.2299542
7.037,6.0268645,4.812385,6.9553924
8.546,5.512241,4.923271,6.635843
6.046,5.5833464,4.6937137,6.4909573
3.618,3.1914556,2.6907604,3.8923273
8.698,7.5404544,5.4884233,7.937355
8.51,7.126131,5.0007453,7.581693
6.632,4.833788,3.587364,5.8546457
7.47,8.353149,6.9181004,9.036958
7.578,8.524788,6.5304794,9.185557
6.535,2.0133183,1.6414237,2.5970604
11.309,6.9102864,6.829015,9.174006
12.192,7.235548,6.533055,8.841608
11.838,6.903408,6.552272,8.867467
11.112,12.390296,7.657298,9.93292
13.123,10.010541,6.8294554,9.388736
7.66,6.122002,4.5083766,6.859454
4.143,6.443643,5.4644523,7.422933
3.659,4.811305,3.642019,5.379231
4.123,4.642355,3.7259228,5.5019426
12.137,8.273778,7.634181,9.91519
16.479,8.375965,6.4914145,9.66908
12.333,5.514333,4.401234,6.7786536
4.784,4.127634,3.0883691,3.7309456
4.699,5.546481,4.1661873,5.1753273
4.567,5.2940054,3.935727,5.1565347
12.08,8.21513,7.3415713,9.339079
10.91,8.382889,6.530303,9.305486
4.919,4.3566246,3.498733,5.288878
3.88,4.3767023,3.0935903,3.7555757
4.191,4.194504,2.973625,3.690008
1.546,2.491185,1.8134477,2.4757254
8.972,5.823428,4.9449177,6.8982935
8.844,5.8463273,4.8104763,6.823143
6.158,4.440737,3.6930537,5.448618
3.634,4.435393,4.0061216,5.0405707
3.744,4.510659,3.6120548,5.0200586
4.729,5.5625286,4.4682727,6.432115
7.452,4.864366,3.6635716,5.311024
13.463,10.273105,7.9832954,10.798617
8.22,7.40134,5.6367745,8.223951
11.078,8.7254305,6.959652,10.061776
7.582,6.1055617,4.871713,6.7736654
6.824,6.006029,4.6973577,6.711345
5.955,5.8707933,4.647706,6.7840166
10.394,10.143029,10.070134,14.283266
9.654,9.886526,8.673159,12.235318
8.669,6.43378,5.9472756,8.163679
3.688,3.290217,3.0907946,4.067097
3.684,3.3674502,2.7462978,3.8726683
3.429,3.3208432,2.795142,4.014625
9.624,8.424232,7.1302905,9.189444
12.0,8.513534,6.570514,9.238252
1.849,0.69795346,0.6526107,1.137228
14.352,10.627592,7.4893823,10.853478
12.6,9.836543,6.85883,10.489944
