k10 [1/s],k12 [1/s],k21 [1/s],k13 [1/s],k31 [1/s],V1 [litres]
0.0067082923,0.005060441,0.0020441192,0.0007930426,5.7853114e-5,5.6901174
0.006276687,0.0060715703,0.0021653825,0.0011081019,6.3915075e-5,5.718906
0.006147784,0.006270237,0.002229223,0.0011615955,6.498008e-5,5.596676
0.0038757918,0.005536235,0.002334442,0.0010526684,5.732907e-5,6.602919
0.0047655287,0.006901692,0.0023640678,0.0015834674,7.182877e-5,5.016535
0.004038596,0.005507897,0.002372967,0.001038726,5.6540117e-5,6.3825917
0.006773772,0.0050981035,0.0021309666,0.0007889879,5.754952e-5,5.268426
0.0063782656,0.0062351213,0.0022002815,0.0010933027,6.428774e-5,5.46057
0.004753253,0.004574161,0.002138422,0.00086177903,5.1537798e-5,7.2851915
0.0054020435,0.0067968722,0.0023698886,0.0014799035,6.954631e-5,5.3978424
0.005379948,0.0050732745,0.0021018097,0.0009930101,5.7281657e-5,6.8556213
0.0054412843,0.005790598,0.0021919217,0.0012051229,6.376766e-5,6.5630784
0.004262273,0.004359418,0.0021438783,0.00088127767,5.2629588e-5,7.247987
0.0047945795,0.0048956196,0.0022475237,0.0008123167,5.0188966e-5,7.394385
0.003959539,0.005407327,0.002100522,0.0010392772,5.8468795e-5,7.143265
0.0049500656,0.0057797283,0.0022280056,0.0012870092,6.448111e-5,6.655131
0.0064360094,0.0067442143,0.002455314,0.0014716138,7.413842e-5,4.832646
